Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Lemann 2006,Low risk,"<p>Author stated ""randomization was performed centrally, using permutation tables"". Author contacted and confirmed that the permutation tables used were provided in J Lellouch and P Lazar, Méthodes statistiques en expérimentation biologique. Flammarion Médecine Sciences 1974, pp 259 and 258.</p>",Low risk,"<p>Authors stated that randomisation was performed centrally suggesting concealment.&nbsp;</p>
<p>Author clarification: ""When an investigator wanted to include a new patient and to obtain&nbsp;<br>
 the treatment to be given to this patient, the investigator sent me by fax in my lab a randomization request sheet including patient’s identification (3 first letters last name, 2 first letters first name), center, stratum, and the major inclusion criteria. If all inclusion criteria were satisfied, I updated the first free line of the list of randomization of the stratum within the center with patient’s identification, investigator's name, date of randomization, the first free treatment number in the list of treatment numbers corresponding to &nbsp;assigned treatment through randomization. The list of treament numbers per treatment was common to my center and to Shering &nbsp;delivery service.<br>
 I completed the randomization request sheet with patient number within the stratum and center, treatment number and sent it to investigator's center. I sent in parallel to Shering delivery service &nbsp;the same data plus treatment assigned, placebo or Remicade, &nbsp;allowing this service to check coherence with treatment number &nbsp;and name.<br>
 Shering delivery service sent&nbsp;to the pharmacy of the investigator's hospital the blind treatment with patients' identification and treatment number.<br>
 If at least one inclusion criteria was missing or not satisfied, I sent &nbsp;back to the investigator the randomization request sheet explaining why treatment allocation to his/her patient could not be performed. Thus, I had no contact with patients, I had no contact with investigators except through the randomization request sheet, I had knowledge of the treatment of a new patient when looking at the randomization list of the stratum and center after reception of the randomization request sheet.""</p>",Low risk,"<p>Author stated that ""Neither the patients nor the study investigators were aware of the treat-ment assigned"" and that ""identical placebo"" to infliximab (Remicade) was administered.</p>",Low risk,"<p>Author contacted and confirmed that the outcome assessors were not aware of patients's&nbsp;<br>
 treatment</p>",Low risk,<p>Attrition was accounted for and balanced in both groups. Reasons for attrition were provided adequately and did not affect outcomes</p>,Unclear risk,<p>No trial registration or published protocol found. &nbsp;Authors report primary outcome as stated in their method section - clinical remission with CDAI score &lt; 150 off steroids at week 24.</p>,Low risk,<p>Baseline characteristics have been reported and are overall balanced in both treatment groups. No other sources of bias apparent.</p>
Loftus 2023 (U-ENDURE),Low risk,"<p>""Patients were randomly assigned through interactive response technology""</p>",Low risk,"<p>""Patients were randomly assigned through interactive response technology""</p>",Low risk,<p>Double-blind placebo controlled study</p>,Unclear risk,"<p>No information apart from endoscopy. ""Endoscopic scores were centrally read by qualified gastroenterologists that were blinded to the site, subject number, timepoint, date of the endoscopy, and study treatment.""</p>",Low risk,<p>Equal attrition and reasons reported and equal</p>,Low risk,<p>Outcomes reported appropriately and as per the trial registration.</p>,Low risk,<p>Baseline characteristics similar between groups.</p>
Loftus 2023 (U-EXCEED),Low risk,"<p>""Patients were randomly assigned through Web-based interactive response technology""</p>",Low risk,"<p>""Patients were randomly assigned through Web-based interactive response technology""</p>",Low risk,<p>Described as double-blind placebo controlled.</p>,Unclear risk,"<p>No details on outcome assessment blinding, apart from endoscopy. ""Endoscopic scores were centrally read by qualified gastroenterologists that were blinded to the site, subject number, timepoint, date of the endoscopy, and study treatment.""</p>",Low risk,<p>Equal attrition and reasons reported and equal between groups.</p>,Low risk,<p>Outcomes reported appropriately and as per the trial registration.</p>,Low risk,<p>Baseline characteristics similar between groups.</p>
Loftus 2023 (U-EXCEL),Low risk,"<p>""Patients were randomly assigned through Web-based interactive response technology""</p>",Low risk,"<p>""Patients were randomly assigned through Web-based interactive response technology""</p>",Low risk,<p>Described as double-blind placebo controlled.</p>,Unclear risk,"<p>No details on outcome assessment blinding, apart from endoscopy. ""Endoscopic scores were centrally read by qualified gastroenterologists that were blinded to the site, subject number, timepoint, date of the endoscopy, and study treatment.""</p>",Low risk,<p>Equal attrition and reasons reported and equal between groups.</p>,Low risk,<p>Outcomes reported appropriately and as per the trial registration.</p>,Low risk,<p>Baseline characteristics similar between groups.</p>
Louis 2023 - SPARE,Low risk,"<p>""The patient number and group of each stratum were assigned by a central online randomisation website (Cleanweb). An independent statistician from the Biostatistics Unit of<br>
 Saint-Louis Hospital (Paris, France) provided computergenerated assignment blocked randomisation lists with the use of a block size of six, unknown to the investigators.""</p>",Low risk,"<p>""Information about allocation was given on the eCRF and confirmed by email.""</p>",High risk,"<p>""Participants, those assessing outcomes, and those analysing the data were not masked to group assignment.""</p>",High risk,"<p>""Participants, those assessing outcomes, and those analysing the data were not masked to group assignment.""</p>",Low risk,"<p>Equal attrition between groups, the reasons reported and equal per groups</p>",Low risk,<p>The outcome results have been presented per the trial registration</p>,Low risk,<p>No concerns.</p>
Matsumoto 2016 (DIAMOND),Low risk,"<p>""Randomization was done centrally at the Clinical Research Centre in Keio University with the use of an adaptive randomization procedure.""</p>",Low risk,"<p>""Randomization was done centrally at the Clinical Research Centre in Keio University with the use of an adaptive randomization procedure.""</p>",High risk,<p>Open-label study</p>,High risk,<p>Open-label study</p>,Low risk,<p>Numbers and reasons for attrition given per group and are balanced.</p>,Low risk,<p>Outcomes reported appropriately and per trial registration (UMIN registration No. 000005146)</p>,Low risk,<p>No baseline characteristic imbalances between groups.</p>
Panaccione 2022 (MOTIVATE),Low risk,<p>Randomly assigned with interactive response technology</p>,Low risk,"<p>Randomly assigned with interactive response technology. An unmasked pharmacist (or<br>
 qualified designee) prepared the intravenous solutions.</p>",Low risk,<p>All patients and study personnel (excluding pharmacists who prepared intravenous solutions) were masked to treatment allocation throughout the study. Saline of equal volume to study drug was administered as the placebo. Placebo and study drug were administered via covered syringes.</p>,Low risk,<p>All patients and study personnel (excluding pharmacists who prepared intravenous solutions) were masked to treatment allocation throughout the study. Saline of equal volume to study drug was administered as the placebo. Placebo and study drug were administered via covered syringes.</p>,Low risk,"<p>14% attrition in the placebo group, compared to 3% and 4% in the other two. However, we don't think this difference has influenced outcome results to a great extent.</p>",Low risk,<p>All appropriate outcomes reported as per the trial registration</p>,Low risk,<p>No differences at baseline. No other concerns.</p>
Panaccione 2024 (GALAXI-2),Low risk,<p>A centralised computer-generated schedule prepared before the start of the study under the supervision of the sponsor was used to randomly assign participants to study treatment.</p>,Unclear risk,<p>A centralised computer-generated schedule prepared before the start of the study under the supervision of the sponsor was used to randomly assign participants to study treatment. No details on allocation concealment.</p>,Low risk,"<p>Participants, investigators, site personnel, and the sponsor were masked to study treatment until all participants had either completed the follow-up visit at week 48 or terminated study participation before week 48. Endoscopy central readers were masked to study treatment and visit.</p>",Low risk,"<p>Participants, investigators, site personnel, and the sponsor were masked to study treatment until all participants had either completed the follow-up visit at week 48 or terminated study participation before week 48. Endoscopy central readers were masked to study treatment and visit.</p>",Low risk,<p>Attrition rates and reasons for discontinuation between groups seem equal</p>,Unclear risk,"<p>Clinical response and endoscopic remission at week 12 are listed as outcomes in NCT03466411 but the outcome results are not clear in the paper, appendix or trial registration.</p>",Low risk,<p>No concerns</p>
Panaccione 2024 (GALAXI-3),Low risk,<p>A centralised computer-generated schedule prepared before the start of the study under the supervision of the sponsor was used to randomly assign participants to study treatment.</p>,Unclear risk,<p>A centralised computer-generated schedule prepared before the start of the study under the supervision of the sponsor was used to randomly assign participants to study treatment. No details on allocation concealment.</p>,Low risk,"<p>Participants, investigators, site personnel, and the sponsor were masked to study treatment until all participants had either completed the follow-up visit at week 48 or terminated study participation before week 48. Endoscopy central readers were masked to study treatment and visit.</p>",Low risk,"<p>Participants, investigators, site personnel, and the sponsor were masked to study treatment until all participants had either completed the follow-up visit at week 48 or terminated study participation before week 48. Endoscopy central readers were masked to study treatment and visit.</p>",Low risk,<p>Attrition rates and reasons for discontinuation between groups seem equal</p>,Unclear risk,"<p>Clinical response and endoscopic remission at week 12 are listed as outcomes in NCT03466411 but the outcome results are not clear in the paper, appendix or trial registration.</p>",Low risk,<p>No concerns</p>
Panes 2017 Induction,Low risk,"<p>Assignment of subject identification number and study drug were managed by a tele-randomisation system, by which the subject was enrolled online or via a telephone call.</p>
<p>In the induction study, patients were stratified by whether or not they had previous exposure to TNFi.&nbsp;</p>",Low risk,"<p>Assignment of subject identification number and study drug were managed by a tele-randomisation system, by which the subject was enrolled online or via a telephone call.</p>
<p>Treatment randomisation information remained confidential and was not released to the investigator or study staff until the conclusion of the studies.</p>",Low risk,"<p>Study treatment was blinded to patients, investigators and the sponsor.</p>",Low risk,"<p>Study treatment was blinded to patients, investigators and the sponsor.</p>",Low risk,<p>Balanced and explained attrition between groups.</p>,Low risk,"<p>All outcomes reported per the trial registration (NCT01393626).</p>
<p>The data for the 16 patients randomised to the 15mg group are not reported for efficacy but only for safety after the authors explained that ""due to the small number of patients treated with tofacitinib 15 mg twice daily, the data for this group were not included for comparison with placebo in the efficacy analyses but were included in the safety analyses""</p>",Low risk,<p>Slight gender imbalance but all other characteristics balanced. No other concerns.</p>
Panes 2017 Maintenance,Low risk,"<p>Assignment of subject identification number and study drug were managed by a tele-randomisation system, by which the subject was enrolled online or via a telephone call.&nbsp;</p>
<p>In the maintenance study, patients were stratified and randomised according to their treatment assignments in the induction study, and their clinical remission status at week 8 of the induction study.</p>",Low risk,"<p>Assignment of subject identification number and study drug were managed by a tele-randomisation system, by which the subject was enrolled online or via a telephone call.</p>
<p>Treatment randomisation information remained confidential and was not released to the investigator or study staff until the conclusion of the studies.</p>",Low risk,"<p>Study treatment was blinded to patients, investigators and the sponsor.</p>",Low risk,"<p>Study treatment was blinded to patients, investigators and the sponsor.</p>",Low risk,<p>Balanced and explained attrition between groups.</p>,Low risk,<p>All outcomes reported per the trial registration (NCT01393899).</p>,Low risk,<p>Baseline characteristics balanced. No other concerns.</p>
Peyrin-Biroulet 2024 - SEQUENCE,Unclear risk,<p>No details (no full publication yet).</p>,Unclear risk,<p>No details (no full publication yet).</p>,High risk,<p>Single-blinded study (Outcomes Assessor)</p>,Low risk,<p>The site’s investigator and personnel were blinded to CDAI and centrally read endoscopy scores during the study. Central reader for SES-CD was blinded to study treatment</p>,Unclear risk,<p>90.2% completed the risenkizumab arm compared to 72.8% for ustekinumab. No other details yet.</p>,Unclear risk,<p>Clinical remission rates for week 24 have only been presented for 50% of randomised patients.</p>,Low risk,<p>No baseline differences. No other concerns.</p>
Present 1999,Unclear risk,"<p>Randomization was performed by an independent organization (PPD Pharmaco, Austin, Tex.) using a stratified treatment assignment, methods not described</p>",Low risk,<p>Central allocation by PPD</p>,Low risk,"<p>Double blind study, the placebo was identical in appearance to the infliximab solution</p>",Unclear risk,<p>Not mentioned</p>,Low risk,<p>Dropouts were reported and distributed evenly across treatment groups</p>,High risk,"<p>Trial registration NCT00004941, however outcomes were not defined and primary outcome (30% draining of fistulas) used was uncommon</p>",Low risk,<p>The study appears to be free of other sources of bias</p>
Röder 2021,Low risk,"<p>""computer-controlled randomization""</p>",Unclear risk,<p>No information</p>,Low risk,<p>Double-blind study</p>,Unclear risk,<p>No information</p>,Low risk,"<p>Reasons for discontinuation reported (5 in the originator and 11 in the biosimilar group, due to adverse events and lack of efficacy).&nbsp;</p>",Unclear risk,<p>No trial registration found</p>,Unclear risk,<p>The baseline characteristics for the CD patients per group are unclear</p>
Rutgeerts 1999,Low risk,"<p>""Randomly assigned in a 1:1 ratio to retreatment with 10 mg/kg infliximab or placebo at week 12 by an independent organization"".</p>",Unclear risk,<p>Not mentioned.</p>,Low risk,"<p>""Investigators, all other study personnel, and patients were kept blinded at the time patients were determined to be eligible for the retreatment extension"".&nbsp;</p>",Low risk,"<p>""Investigators, all other study personnel, and patients were kept blinded at the time patients were determined to be eligible for the retreatment extension"".&nbsp;</p>",Low risk,<p>Reasons for attrition were explained. There was a small imbalance between groups but did not affect outcomes</p>,Unclear risk,<p>No prespecified plan or trial registration</p>,Low risk,<p>Baseline characteristics were reported for each treatment group and balanced. No other apparent source of bias.</p>
Rutgeerts 2006,Low risk,"<p>""Centralized randomization procedure using an interactive voice-response system""</p>",Low risk,"<p>""Centralized randomization procedure using an interactive voice-response system""</p>",Low risk,"<p>Study is described as 'double-blind'. &nbsp;""Solutions of onercept and placebo were identical in appearance, and labeling and packaging were prepared to preserve the blinded nature of the study.""</p>",Unclear risk,<p>No details on outcome assessment blinding.</p>,Unclear risk,<p>No details on attrition numbers and reasons per randomised group.</p>,Unclear risk,<p>No details on trial registration.</p>,Low risk,<p>Baseline characteristics were well-balanced between groups.</p>
Rutgeerts 2012 (EXTEND),Unclear risk,<p>Not mentioned</p>,Unclear risk,<p>Not mentioned</p>,Low risk,<p>Described as double-blinded</p>,Low risk,"<p>Author states ""ileocolonoscopy procedures were recorded and subsequently evaluated by an independent, blinded central reviewer"".</p>",Low risk,"<p>Attrition was accounted for and balanced in both groups, with adequate reasons provided.</p>",Low risk,<p>Authors reported relevant outcomes as planned per the trial registration</p>,Low risk,<p>Baseline characteristics reported and balanced between both groups. No other apparent sources of bias.</p>
Sandborn 2001a,Low risk,"<p>Author stated ""computer-generated randomization scheme performed the randomisation centrally"".</p>",Low risk,<p>Central allocation by a statistician</p>,Low risk,<p>Described as double-blind and placebo-controlled</p>,Low risk,<p>Pharmacists prepared the IV infusions so the inference is outcomes assessment was blind</p>,Low risk,"<p>Attrition was accounted for, balanced in both groups and reasons provided adequately.</p>",Unclear risk,"<p>All relevant outcomes reported, however we could not find a trial registration or protocol for this trial</p>",Low risk,<p>Baseline characteristics reported and balanced in both groups. No other apparent sources of bias.</p>
Sandborn 2001b,Low risk,"<p>Author stated ""randomization schedule was generated by a statistician at Immunex Corporation"".</p>",Low risk,"<p>Author stated ""patients were assigned to treatment group according to the schedule maintained at Immunex Corporation"".&nbsp;</p>",Low risk,"<p>Double-blind, placebo-controlled</p>",Unclear risk,<p>Not mentioned</p>,Low risk,<p>Attrition was accounted for with adequate reasons provided for each group. Balanced in both groups.</p>,Unclear risk,<p>No protocol or trial registration found. According to the method section author reported on stated primary outcome - &nbsp;proportion of patients with clinical response and remission.&nbsp;</p>,Low risk,<p>Baseline characteristics reported and balanced in both groups. No other apparent sources of bias.</p>
Sandborn 2005a (ENACT 1),Low risk,<p>Stated as randomised centrally</p>,Low risk,"<p>""Centrally allocated""</p>",Low risk,"<p>Patients and investigators were unaware of treatment assignments, stated as double blinded.&nbsp;</p>",Low risk,"<p>Patients and investigators were unaware of treatment assignments, stated as double blinded.&nbsp;</p>",Low risk,<p>No attrition&nbsp;</p>,Unclear risk,"<p>Trial registration has no outcomes. However, clincically relevant outcomes have been reported.</p>",Low risk,<p>No other sources apparent. No baseline characteristic imbalance.</p>
Sandborn 2005a (ENACT 2),Low risk,"<p>""Both trials <i>(ENACT-1 AND -2)</i> were centrally randomised"".&nbsp;</p>",Low risk,"<p>""Centrally allocated""</p>",Low risk,"<p>Patients and investigators were unaware of treatment assignments, stated as double blinded.&nbsp;</p>",Low risk,"<p>Patients and investigators were unaware of treatment assignments, stated as double blinded.&nbsp;</p>",Unclear risk,<p>Atrrition is balanced in the groups but no reasons for attrition have been given.</p>,Unclear risk,"<p>No protocol and registrtion has no outcomes. However, clinically relevant outcomes have been reported.</p>",Low risk,<p>No other sources apparent. No baseline characteristic imbalance.</p>
Sandborn 2007a,Low risk,"<p>Author stated randomisation was achieved using a ""central computer-generated scheme"".</p>",Low risk,"<p>Authors stated that ""Patient numbers were centrally assigned by an interactive voice-response systemin consecutive order. The system provided access to blinded patient treatment information for medical emergencies only"".&nbsp;</p>",Low risk,"<p>Participants, personnel and outcome assessors were blinded</p>",Low risk,"<p>Participants, personnel and outcome assessors were blinded</p>",Low risk,<p>Attrition accounted for in both groups and balanced. Adequate explanations provided for both groups' attritions.</p>,Low risk,"<p>No published protocol found. But according to trial registration and method section primary end-point was ""proportion of patients with remission at week 4"". This was reported accordingly.&nbsp;</p>",Low risk,<p>Baseline characteristics reported and balanced in both groups. No other apparent sources of bias.</p>
Sandborn 2007b (CLASSIC II),Unclear risk,<p>No randomisation method explained.</p>,Low risk,"<p>Authors state assignment ""was done centrally""&nbsp;</p>",Low risk,"<p>Authors state ""the patients, study coordinators, and study investigators were all blinded to treatment assignments""&nbsp;</p>",Low risk,"<p>Although authors state ""the patients, study coordinators, and study investigators were all blinded to treatment assignments"",&nbsp;</p>",Low risk,<p>Attrition was balanced and accounted for in all three groups with adequate reasons provided.</p>,Low risk,<p>Outcomes have been reported per the trial registration.</p>,Low risk,<p>Baseline characteristics reported and balanced in all three groups. No other sources of apparent bias.</p>
Sandborn 2007c (PRECISE 1),Low risk,"<p>Authors state randomisation was ""perfomed centrally""&nbsp;</p>",Unclear risk,<p>Not mentioned.</p>,Low risk,<p>Described as double-blind</p>,Low risk,"<p>Authors state ""Data were collected and analyzed by ICON Clinical Research"".&nbsp;</p>",Low risk,<p>Attrition accounted for and balanced in both groups. Adequate reasons provided for withdrawals.</p>,Low risk,<p>Outcomes reported per the trial registration.</p>,Low risk,<p>Baseline characteristics reported for and balanced in both groups. No other apparent sources of bias.</p>
Sandborn 2008 (Population 1),Low risk,<p>Computer-generated randomisation</p>,Low risk,<p>Centrally allocated</p>,Low risk,<p>Double-blind placebo controlled</p>,Unclear risk,<p>Not mentioned</p>,Low risk,<p>Attrition numbers were accounted for and balanced in all four groups of poulation 1.</p>,Low risk,<p>Authors have reported relevant outcomes for population 1 according to the trial registration.</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in population 1. No other apparent sources of bias.</p>
Sandborn 2011,Low risk,"<p>Authors stated ""Randomization was performed centrally according to a computer-generated scheme""</p>",Low risk,<p>Central allocation</p>,Low risk,<p>Double-blind study</p>,Unclear risk,<p>Not mentioned</p>,Low risk,"<p>Attrition was accounted and balanced in both groups, and adequate reasons provided for both.</p>",Unclear risk,<p>No published protocol found. Authors have reported relevant outcomes - clinical response (CDAI scores) at relevant intervals.</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in both groups. No other apparent sources of bias.</p>
Sandborn 2012 (CERTIFI) - Induction,Low risk,"<p>The sponsor confirmed that ""Randomizations were performed through a central randomization centre using an interactive voice response system (IVRS)""</p>",Low risk,"<p>The sponsor confirmed that ""The pharmacist (or other appropriately licensed and authorized drug-preparation personnel) was unblinded to subject treatment at Week 0. If drug preparation at Week 0 was delegated to a non-pharmacist, such as a nurse, that individual could not be involved in any other aspects of the trial or in the care of trial subjects.""</p>",Low risk,"<p>Study sponsor response after our enquiry: The pharmacist (or other appropriately licensed and authorized drug-preparation personnel) was unblinded to subject treatment at Week 0. The treatment at Week 8 and Week 16 was blinded to all study personnel, including the pharmacist. If drug preparation at Week 0 was delegated to a non-pharmacist, such as a nurse, that individual could not be involved in any other aspects of the trial or in the care of trial subjects. Placebo administrations had the same appearance as the respective ustekinumab administrations. Because 1 treatment arm was to receive ustekinumab 270 mg as three 90 mg SC injections at Week 8, all subjects were to receive 3 SC injections of study agent (ie, 3 ustekinumab 90 mg SC injections, 1 ustekinumab 90 mg SC plus 2 SC placebo injections, or 3 SC placebo injections) at Week 8 to protect the blind. Under no circumstances were the unblinded personnel to reveal the treatment assignment for a subject.</p>",Low risk,"<p>Study sponsor response after our enquiry: The pharmacist (or other appropriately licensed and authorized drug-preparation personnel) was unblinded to subject treatment at Week 0. The treatment at Week 8 and Week 16 was blinded to all study personnel, including the pharmacist. If drug preparation at Week 0 was delegated to a non-pharmacist, such as a nurse, that individual could not be involved in any other aspects of the trial or in the care of trial subjects. Placebo administrations had the same appearance as the respective ustekinumab administrations. Because 1 treatment arm was to receive ustekinumab 270 mg as three 90 mg SC injections at Week 8, all subjects were to receive 3 SC injections of study agent (ie, 3 ustekinumab 90 mg SC injections, 1 ustekinumab 90 mg SC plus 2 SC placebo injections, or 3 SC placebo injections) at Week 8 to protect the blind. Under no circumstances were the unblinded personnel to reveal the treatment assignment for a subject.</p>",Low risk,"<p>According to the flowchart of Supplementary Figure 2 (S2), attrition was balanced in all groups with adequate reasons provided for loss in numbers shown in Tables S3A and S3B.</p>",Low risk,<p>Authors reported outcomes according to trial registration - clinical response and clinical remission (CDAI scores) at relevant intervals.</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in all groups. No other apparent sources of bias.</p>
Sandborn 2012 (CERTIFI) - Induction (non-response),Low risk,"<p>The sponsor confirmed that ""Randomizations were performed through a central randomization centre using an interactive voice response system (IVRS)""</p>",Low risk,"<p>The sponsor confirmed that ""The pharmacist (or other appropriately licensed and authorized drug-preparation personnel) was unblinded to subject treatment at Week 0. If drug preparation at Week 0 was delegated to a non-pharmacist, such as a nurse, that individual could not be involved in any other aspects of the trial or in the care of trial subjects.""</p>",Low risk,"<p>The authors confirmed that ""The pharmacist (or other appropriately licensed and authorized drug-preparation personnel) was unblinded to subject treatment at Week 0. The treatment at Week 8 and Week 16 was blinded to all study personnel, including the pharmacist. If drug preparation at Week 0 was delegated to a non-pharmacist, such as a nurse, that individual could not be involved in any other aspects of the trial or in the care of trial subjects. Placebo administrations had the same appearance as the respective ustekinumab administrations. Because 1 treatment arm was to receive ustekinumab 270 mg as three 90 mg SC injections at Week 8, all subjects were to receive 3 SC injections of study agent (ie, 3 ustekinumab 90 mg SC injections, 1 ustekinumab 90 mg SC plus 2 SC placebo injections, or 3 SC placebo injections) at Week 8 to protect the blind. Under no circumstances were the unblinded personnel to reveal the treatment assignment for a subject.""</p>",Low risk,"<p>The authors confirmed that ""The pharmacist (or other appropriately licensed and authorized drug-preparation personnel) was unblinded to subject treatment at Week 0. The treatment at Week 8 and Week 16 was blinded to all study personnel, including the pharmacist. If drug preparation at Week 0 was delegated to a non-pharmacist, such as a nurse, that individual could not be involved in any other aspects of the trial or in the care of trial subjects. Placebo administrations had the same appearance as the respective ustekinumab administrations. Because 1 treatment arm was to receive ustekinumab 270 mg as three 90 mg SC injections at Week 8, all subjects were to receive 3 SC injections of study agent (ie, 3 ustekinumab 90 mg SC injections, 1 ustekinumab 90 mg SC plus 2 SC placebo injections, or 3 SC placebo injections) at Week 8 to protect the blind. Under no circumstances were the unblinded personnel to reveal the treatment assignment for a subject.""</p>",Low risk,"<p>Balanced and explained attrition between the two groups, per sponsor's response</p>",Unclear risk,<p>Outcome data for the non-responders are not clearly desrcribed but were provided to us by the study sponsor.</p>,Low risk,<p>No baseline differences between groups per sponsor's response. No other concerns.</p>
Sandborn 2012 (CERTIFI) - Maintenance,Low risk,"<p>Author states ""Adaptive randomization, performed centrally"".</p>",Low risk,"<p>Author states ""Adaptive randomization, performed centrally"".</p>",Low risk,"<p>Sponsor response after our enquire: To protect the integrity of the maintenance phase of the study, treatment assignment blinding was to be maintained for investigative sites, site monitors, and subjects participating in the study until the Week 36 analyses were completed.<br>
 Three database locks were planned for the study: the first when all subjects in the induction phase either completed the Week 6 visit or terminated study participation before Week 6; the second when all subjects in the maintenance phase either completed the Week 22 visit or terminated study participation before Week 22; and the third when all subjects in the maintenance phase either completed the Week 36 visit or terminated study participation before Week 36. The sponsor was to remain blinded to treatment assignment until the first database lock. At the first database lock, data were to be unblinded for subjects in the induction phase of the study; data for the maintenance phase of the study were to remain blinded. At the second database lock, data from the maintenance phase of the study were to be unblinded for analysis. Identification of sponsor personnel who would have access to the unblinded subject-level data was to be documented before unblinding at the Week 6 and Week 22 database locks.<br>
 Data that might potentially unblind the treatment assignment (ie, study agent serum concentrations, antibodies to study agent, treatment allocation, and study agent preparation/accountability data) was to be handled with special care so that, before unblinding, such data would be available only to data management staff for purposes of data cleaning, bioanalysis staff for serum concentration assays, and, if applicable, QA representatives for the purposes of conducting independent drug audits.</p>",Low risk,"<p>Sponsor response after our enquire: To protect the integrity of the maintenance phase of the study, treatment assignment blinding was to be maintained for investigative sites, site monitors, and subjects participating in the study until the Week 36 analyses were completed.<br>
 Three database locks were planned for the study: the first when all subjects in the induction phase either completed the Week 6 visit or terminated study participation before Week 6; the second when all subjects in the maintenance phase either completed the Week 22 visit or terminated study participation before Week 22; and the third when all subjects in the maintenance phase either completed the Week 36 visit or terminated study participation before Week 36. The sponsor was to remain blinded to treatment assignment until the first database lock. At the first database lock, data were to be unblinded for subjects in the induction phase of the study; data for the maintenance phase of the study were to remain blinded. At the second database lock, data from the maintenance phase of the study were to be unblinded for analysis. Identification of sponsor personnel who would have access to the unblinded subject-level data was to be documented before unblinding at the Week 6 and Week 22 database locks.<br>
 Data that might potentially unblind the treatment assignment (ie, study agent serum concentrations, antibodies to study agent, treatment allocation, and study agent preparation/accountability data) was to be handled with special care so that, before unblinding, such data would be available only to data management staff for purposes of data cleaning, bioanalysis staff for serum concentration assays, and, if applicable, QA representatives for the purposes of conducting independent drug audits.</p>",Low risk,"<p>According to the flowchart of Supplementary Figure 2 (S2), attrition was balanced in all groups with adequate reasons provided for loss in numbers shown in Tables S3A and S3B.</p>",Low risk,<p>Authors reported outcomes according to trial registration - clinical response and clinical remission (CDAI scores) at relevant intervals.</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in all groups. No other apparent sources of bias.</p>
Sandborn 2013 (GEMINI II) - Induction,Low risk,"<p>Author states ""Randomization was computer-generated and was performed at a central location.""</p>",Low risk,"<p>Authors state that randomisation ""was performed at a central location"".&nbsp;</p>",Low risk,<p>Double-blind placebo controlled</p>,Low risk,"<p>Author states ""sponsor [Millenium Pharmaceuticals] collected and analyzed the data"".</p>",Low risk,"<p>According to the flowchart of Supplementary Figure 1 (S1), attrition was balanced in all groups with adequate reasons provided for loss in numbers.</p>",Low risk,<p>Relevant outcomes reported per trial registration</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in all groups. No other apparent sources of bias.</p>
Sandborn 2013 (GEMINI II) - Maintenance,Low risk,"<p>Author states ""Randomization was computer-generated and was performed at a central location.""</p>",Low risk,"<p>Authors state that randomisation ""was performed at a central location"".&nbsp;</p>",Low risk,<p>Double-blind study</p>,Low risk,"<p>Author states ""sponsor [Millenium Pharmaceuticals] collected and analyzed the data"".&nbsp;</p>",Low risk,"<p>According to the flowchart of Supplementary Figure 1 (S1), attrition was balanced in all groups with adequate reasons provided for loss in numbers.</p>",Low risk,<p>Relevant outcomes reported per trial registration</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in all groups. No other apparent sources of bias.</p>
Sandborn 2014,Unclear risk,<p>No details on randomisation</p>,Low risk,<p>The authors state allocation was concealed and electronically generated blinded codes were used which could be broken only in emergency situations for reasons of patient safety</p>,Low risk,"<p>The study was placeco controlled, patient-, investigator-, and sponsor-blinded.</p>",Low risk,"<p>The study was placeco controlled, patient-, investigator-, and sponsor-blinded.</p>",Low risk,<p>Balanced and explained attrition</p>,Low risk,<p>Outcomes reported per the trial registration (NCT00615199)</p>,Low risk,<p>No major baseline imbalances</p>
