Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Mackintosh 1988,1988,PUB,2917136,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p><p><i>Country of study</i>: South Africa</p><p><i>Study setting</i>: Western Province Blood Transfusion Service</p><p><i>Number of participants randomised</i>:</p><p>Treatment arm 1: 11<br>Treatment arm 2: 12</p><p><i>Number of participants analysed</i>:</p><p>Treatment arm 1: 11<br>Treatment arm 2: 12<br><i>Follow-up time points</i>: after 56 days of treatment</p><p><i>Hb threshold for deferral from donation</i>: 135 g/L</p><p><i>Source of funding</i>: supported by the University of Cape Town Leukaemia Centre and Staff Research (Cancer) Fund, the National Cancer Institute and the Medical Research Council.&nbsp;Iron polymaltose donated by Hausman Laboratories</p>",<p>Regular donors with a minimum of 4 units in the preceding 12 months; haemoglobin ≥ 135 g/L&nbsp;</p><ul><li>High serum ferritin (HSF) groups: serum ferritin between 50 and 150 μg/L</li><li>Low serum ferritin (LSF) groups: serum ferritin less than 20 μg/L</li></ul><p><i>Mean age (years)</i>: not reported</p><p><i>Sex (% male)</i>: 100%</p>,"<p>Treatment arm 1: oral elemental iron (Ferrimed DS, Hausman Laboratories, Switzerland); 100 mg as chewable tablets taken twice daily for 56 days. Total dose: 11,200 mg</p><p>Treatment arm 2: oral placebo taken twice daily for 56 days</p>",<p>Serum ferritin; haemoglobin; adverse effects</p>,"<p>This is either two separate randomisations (2 RCTs), or this is randomisation with stratification by serum ferritin level</p><p>Combined here in a single trial as there are no usable data (no reported variance around the mean), and will not be needed separately in analyses. Adverse events: no events in any group according to their definition which can be combined as oral iron N = 22, and placebo N = 24</p>"
Maghsudlu 2008,2008,PUB,2917140,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Iran</p>
<p><i>Study setting</i>: multi-centre: 2 blood transfusion centres</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 207<br>
 Treatment arm 2: 205</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 132<br>
 Treatment arm 2: 120</p>
<p><i>Follow-up time points</i>: visits at 4, 8, 12 months after baseline</p>
<p><i>Hb threshold for deferral from donation</i>: 125 g/L</p>
<p><i>Source of funding</i>: supported by the Research Centre of the Iranian Blood Transfusion Organisation</p>","<p>Successful female, non-pregnant donors of childbearing age</p>
<p><i>Mean age (years)</i>: both groups pooled: mean 28.7 (SD 7.2, maximum age 45)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral ferrous sulphate, 150 mg (50 mg elemental iron) taken 3 times daily for 7 days; repeated after each of 3 donations. Total dose: 3150 mg for each donation</p><p>Treatment arm 2: oral placebo taken 3 times daily for 7 days; repeated after each of 3 donations.</p>",<p>Compliance; adverse effects; haemoglobin; haematocrit; serum ferritin; serum iron; total iron binding capacity; transferrin saturation</p>,<p>—</p>
Marks 2013 (FIRST),2013,PUB,2917209,"<p><i>Type of study</i>: parallel, 2-arm, double-blind, randomised controlled trial</p>
<p><i>Country of study: </i>Australia</p>
<p><i>Study setting: </i>Australian Red Cross Blood Service</p>
<p><i>Number of participants randomised: </i></p>
<p>Treatment arm 1: 141</p>
<p>Treatment arm 2: 142</p>
<p><i>Number of participants analysed: </i></p>
<p>Treatment arm 1: 129</p>
<p>Treatment arm 2: 128</p>
<p><i>Follow-up time points: </i>12 weeks (donation if eligible)</p>
<p><i>Hb threshold for deferral from donation</i>: 120 g/L</p>
<p>Source of funding: ""no funding sources""</p>","<p>Returning female whole blood donors aged 18 to 45 years with at least one successful donation in the past two years.</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 30.2 (SD 7.0)</p>
<p>Treatment arm 2: 30.4 (SD 6.8)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral carbonyl iron (Feosol), 45 mg given once daily for 8 weeks</p>
<p>Treatment arm 2: placebo</p>",<p>Prevalence of iron deficiency (ferritin &lt;15 ng/mL) at 12 weeks post-donation (primary outcome); eligibility to donate based on capillary Hb; incidence of GI complaints.</p>,<p>The study was [retrospectively] registered with the Therapeutic Goods Administration of Australia under the Clinical Trial Notification (CTN) Scheme (Trial Number 2008/224) and with the National Health and Medical Research Council of Australia</p>
Mast 2016 (STRIDE),2012,PUB,2917218,"<p><i>Type of study</i>: A multi-centre, randomised, double-blind, parallel, efficacy study</p><p><i>Country of study: </i>USA</p><p><i>Study setting: </i>blood donor centres</p><p><i>Number of participants randomised:</i></p><p>Treatment arm 1: 139</p><p>Treatment arm 2: 139</p><p>Treatment arm 3: 138</p><p>Treatment arm 4: - not relevant to this review&nbsp;</p><p>Treatment arm 5: - not relevant to this review</p><p><i>Number of participants analysed:</i></p><p>Treatment arm 1: 76</p><p>Treatment arm 2: 63</p><p>Treatment arm 3: 53</p><p>Treatment arm 4: &nbsp;- not relevant to this review</p><p>Treatment arm 5: &nbsp;- not relevant to this review</p><p><i>Follow-up time points: </i>two year longitudinal follow-up with minimum two (female) or three (male) RBC-equivalent donations per year</p><p><i>Hb threshold for deferral from donation</i>: 125 g/L</p><p>Source of funding: NHLBI</p>","<p>Frequent blood donors: 3 or more (men) or 2 or more (women) donations in the prior 12 months</p><p><i>Mean age (years):</i></p><p>Treatment arm 1: &lt;30 (n=11), 30-39 (n=6), 40-49 (n=14), 50-59 (n=52), 60+ (n=56)</p><p>Treatment arm 2: &lt;30 (n=15), 30-39 (n=17), 40-49 (n=22), 50-59 (n=49), 60+ (n=36)</p><p>Treatment arm 3: &lt;30 (n=14), 30-39 (n=8), 40-49 (n=26), 50-59 (n=43), 60+ (n=47)</p><p>Treatment arm 4: &nbsp;- not relevant to this review</p><p>Treatment arm 5: &nbsp;- not relevant to this review</p><p><i>Sex (% male)</i>:</p><p>Treatment arm 1: 50.4%</p><p>Treatment arm 2: 51.1%</p><p>Treatment arm 3: 50.7%</p><p>Treatment arm 4: &nbsp;not relevant to this review</p><p>Treatment arm 5:- not relevant to this review</p>","<p>Treatment arm 1: ferrous gluconate (CoreRX) (elemental iron), 38 mg given daily over 60 days following each donation</p><p>Treatment arm 2: ferrous gluconate (CoreRX) (elemental iron), 19 mg given daily over 60 days following each donation</p><p>Treatment arm 3: placebo given daily over 60 days following each donation</p><p>Treatment arm 4: donors given a letter informing them of their plasma ferritin level and recommending action to prevent iron deficiency, such as taking iron supplements or delaying donation - <i>not relevant to this review</i></p><p>Treatment arm 5: donors given a letter thanking them for donating<i> - not relevant to this review</i></p>","<p>Change from baseline Hb over two years (primary outcome); change from baseline in ferritin over 2 years; change from baseline in sTfR over 2 years; change from baseline in laboratory hematology results (Hb, Hematocrit, mean corpuscular value (MCV), mean corpuscular hemoglobin (MCH)) over 2 years</p>",<p>This study is known as the STRIDE (Strategies to Reduce Iron Deficiency in blood donors) trial.</p>
Mirrezaie 2008,2008,PUB,2917143,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p><p><i>Country of study</i>: Iran</p><p><i>Study setting</i>: multicentre: 2 blood transfusion centres</p><p><i>Number of participants randomised</i>:</p><p>Treatment arm 1: 49<br>Treatment arm 2: 46</p><p><i>Number of participants analysed</i>:</p><p>Treatment arm 1: 39<br>Treatment arm 2: 31</p><p><i>Follow-up time points</i>: non-donation visits on day 7 (adverse effects only); day 28; day 56 after baseline donation</p><p><i>Hb threshold for deferral from donation</i>: 120 g/L</p><p><i>Source of funding</i>: supported under a co-operative agreement from Shiraz University of Medical Sciences and Shiraz Blood Transfusion Organization</p>","<p>Regular female donors of childbearing age with more than one blood donation in the last year; haemoglobin ≥ 120 g/L</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: mean 34.2 (SD 9.3, range 18 to 49)<br>
 Treatment arm 2: mean 34.0 (SD 8.0, range 18 to 49)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral ferrous sulphate equivalent to 50 mg elemental iron, taken daily for 8 weeks. Total dose: 2800 mg</p><p>Treatment arm 2: oral placebo taken daily for 56 days</p>",<p>Serum ferritin; compliance; adverse effects</p>,<p>—</p>
Pachikian 2020,2020,PUB,28776684,"<p><i>Type of study:</i> RCT parallel assignment, single-blind, placebo-controlled; 4-arm trial (3 relevant to this review)</p><p><i>Funder:</i> Université catholique de Louvain; monetary support from Rode Kruis Vlanderen (Science Foundation of the Belgian Red Cross)</p><p><i>Country:</i> Belgium</p><p><i>Setting: </i>donation at blood donor centre</p><p><i>Follow-up time points:</i> 3 donations, follow-up to 4 weeks (28 days) after third blood donation</p><p><i>Sample size calculation:</i> sample size was estimated using the software PASS 15<br>and the two-sample t-test using ratios. 8 subjects in the placebo group and 12 subjects in the blood donation group were sufficient to detect a 10% reduction of the mean (one-sided) in the blood donation vs the placebo groups with a power of 80%. The estimated standard deviation was 8.5%, the alpha value was 0.05 and the ratio between blood donation and placebo groups was 1.5</p>","<p>No apparent baseline differences. All first time donors</p>
<p><b>No iron (n=12 randomised, 11 analysed)</b></p>
<p>Age (years): mean 21.5 SEM 1.3 (range 18 to 33)</p>
<p>Gender: 12 M (100%)</p>
<p>Weight/BMI: Weight (kg): 75.6 +/- 2.8, BMI: 23.9 +/- 0.8 (mean SEM)</p>
<p><b>20mg iron (n=12 randomised, 11 analysed)</b></p>
<p>Age (years): mean 22.5 SEM 1.3 (range 19 to 33)</p>
<p>Gender: 12 M (100%)</p>
<p>Weight/BMI: Weight (kg): 72.1 +/- 4.4, BMI: 22.5 +/- 1.2 (mean SEM)</p>
<p><b>80mg iron (n=12 randomised, 11 analysed)</b></p>
<p>Age (years): mean 24 SEM 1.0 (range 19 to 31)</p>
<p>Gender: 12 M (100%)</p>
<p>Weight/BMI: Weight (kg): 78.5 +/- 1.6, BMI: 23.6 +/- 0.4 (mean SEM)</p>","<p>The subjects had to take one tablet (iron or placebo) a day for 28 days post-donation... The subjects were asked to take the tablet in the fasted state and at least 15 minutes before breakfast together with a glass of orange juice. A defined number of tablets was given to each subject, with a few tablets given in excess on purpose in order to test compliance at the end of each of the three experimental trials.<br>To study the effect of repeated donations, the blood collection procedure or simulation was repeated after 3 months (second test series) and after 6 months (third test series)... ablood donation of 470 mL according to the Belgian Law of 01/02/2005 (Donation)</p><p><b>No iron: </b>maltodextrin oral tablet (400mg/capsule)</p><p><b>20 mg iron:</b> oral FERROUS GLUCONATE (effervescent tablet, Losferron) 173.75 mg to provide 20 mg of elemental iron</p><p><b>80 mg iron: </b>oral FERROUS GLUCONATE (effervescent tablet, Losferron) 695 mg to provide 80 mg elemental iron</p>",<p>Haemoglobin; mean corpuscular volume (MCV); Iron; ferritin; transferrin level; red blood cells</p><p><b>Timepoints (extracted for this review): </b>before second blood donation (3 months) - one week pre test period 2; after second blood donation (3 months) - (2 days post 2nd donation); third blood donation (6 months) - one week pre test period 3; after third blood donation (6 months) - (2 days post 3rd donation); 4 weeks post 3rd donation (study endpoint)</p>,"<p>Actual start date of recruitment: 18 Sep 2017 (Recruitment between September 2017 and November 2017); study from November 2017 to June 2018</p>
<p>Trial registration: EUCTR2017-003406-40-BE (prospective (registered on 2017-08-17))</p>
<p>Ethical approval: Yes- The Ethics Committee of the UCLouvain approved the study</p>
<p>Correspondence: Louise Deldicque, Université catholique de Louvain, 0032 10474443, louise.deldicque@uclouvain.be</p>
<p>Contacted and provided additional data previously only presented graphically</p>"
Radtke 2004a,2004,PUB,2917145,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial</p>
<p><i>Country of study</i>: Germany</p>
<p><i>Study setting</i>: single blood transfusion centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 176<br>
 Treatment arm 2: 175<br>
 Treatment arm 3: 175</p>
<p><i>Number of participants analysed</i>: (at visit 3 (males) or visit 2 (females)):<br>
 Treatment arm 1: 54 males, 57 females<br>
 Treatment arm 2: 54 males, 44 females<br>
 Treatment arm 3: 40 males, 40 females</p>
<p><i>Follow-up time points</i>: donation visits at 2, 4, 6 months (male) or 3, 6 months (female)</p>
<p><i>Hb threshold for deferral from donation</i>: 135 g/L (male) or 125 g/L (female)</p>
<p><i>Source of funding</i>: supported in part by a grant from Phyt-Immun GmbH, Homburg, Germany</p>","<p>Regular donors with haemoglobin ≥ 135 g/L (males) or ≥ 125 g/L (females)</p>
<p><i>Mean age (years)</i>: mean not reported, all groups combined: range 19 to 67 (males), 19 to 65 (females)</p>
<p><i>Sex (% male)</i>:</p>
<p>Treatment arm 1: 55.1%<br>
 Treatment arm 2: 54.9%<br>
 Treatment arm 3: 54.9%</p>","<p>Treatment arm 1: oral ferrous gluconate (Phyt-Immun GmbH, Homburg, Germany); 40 mg + 400 mg ascorbic acid taken daily for 6 months. Total dose: 7520 mg</p>
<p>Treatment arm 2: oral ferrous gluconate (Phyt-Immun GmbH, Homburg, Germany); 20 mg + 400 mg ascorbic acid taken daily for 6 months with 400 mg ascorbic acid. Total dose: 3760 mg</p>
<p>Treatment arm 3: oral placebo + 400 mg ascorbic acid taken daily for 6 months</p>",<p>Storage iron (logarithm of the ratio of transferrin receptor to ferritin concentration) (primary outcome); donations and deferrals; serum ferritin; % with depleted iron stores; adverse effects; compliance</p>,<p>This study performed intention-to-treat analysis</p>
Radtke 2004b,2004,PUB,2917148,"<p><i>Type of study</i>: cross-over, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Germany</p>
<p><i>Study setting</i>: not reported</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 131<br>
 Treatment arm 2: 129</p>
<p><i>Number of participants analysed (at visit 3)</i>:<br>
 Treatment arm 1: 108<br>
 Treatment arm 2: 103</p>
<p><i>Follow-up time points</i>: 3 donation visits subsequent to baseline donation; inter-donation interval 8 to 10 weeks</p>
<p><i>Hb threshold for deferral from donation</i>: 145 g/L (before first donation); 140 g/L (before subsequent donations)</p>
<p><i>Source of funding</i>: supported in part by a grant from Sanol/Schwarz Pharma, Monheim, Germany</p>","<p>Regular donors with minimum body weight 68 kg; meeting the Hb threshold</p>
<p><i>Mean age (years)</i>: not reported; all groups combined: range 18 to 62</p>
<p><i>Sex (% male)</i>: 98.8%</p>","<p>Treatment arm 1: oral iron (iron(II)-glycine-sulphate-complex (Sanol/Schwartz Pharma, Monheim, Germany), 100 mg Fe2+ taken daily between baseline and 3 subsequent visits (between 56 and 70 days).&nbsp;Total dose: 16,800 mg to 21,000 mg</p>
<p>Treatment arm 2: oral placebo (Sanol/Schwartz Pharma, Monheim, Germany); taken daily between baseline and 3 subsequent visits (between 56 and 70 days)</p>",<p>Donations and deferrals; haemoglobin; serum ferritin; adverse effects; compliance</p>,<p>—</p>
Rosvik 2010,2010,PUB,2917150,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Norway</p>
<p><i>Study setting</i>: hospital blood bank</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 198<br>
 Treatment arm 2: 201</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 153 (71 male, 82 female)<br>
 Treatment arm 2: 161 (82 male, 79 female)</p>
<p><i>Follow-up time points</i>: mean 8 (SD 2) days after initial donation</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: supported by a grant from Western Norway Regional Health Authority</p>","<p>Donors with at least 1 previous donation; Hb ≥ 135 g/L (males) or ≥ 125 g/L (females); serum ferritin &gt; 20 μg/L; willingness to return 8 (+/- 2) days after donation for follow-up</p>
<p><i>Mean age (years)</i>: both treatment groups pooled: mean 42.8 (SD 11.4, range 18 to 69) (male), 43.2 (SD 12.1, range 20 to 70) (female)</p>
<p><i>Sex (% male)</i>:</p>
<p>Treatment arm 1: 50%<br>
 Treatment arm 2: 50.7%</p>","<p>Treatment arm 1: oral ferroglycin sulphate complex (Niferex©); 100 mg taken daily for 8 days. Total dose: 800 mg</p>
<p>Treatment arm 2: control (no iron supplementation or placebo)</p>",<p>Short-term change in iron status (primary outcome); effects of iron supplementation in donors with variants in the classical HFE-gene of hereditary haemochromatosis compared to a HFE wildtype group</p>,<p>—</p>
Rybo 1971,1971,PUB,2917152,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial</p>
<p><i>Country of study</i>: Sweden</p>
<p><i>Study setting</i>: hospital blood bank</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 460 (261 male, 199 female)<br>
 Treatment arm 2: 460 (260 male, 200 female)<br>
 Treatment arm 3: 456 (257 male, 199 female)</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 392 (212 male, 180 female)<br>
 Treatment arm 2: 389 (214 male, 175 female)<br>
 Treatment arm 3: 385 (205 male, 180 female)</p>
<p><i>Follow-up time points</i>: 14 days post-donation</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: not reported</p>","<p>Regular blood donors</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>:</p>
<p>Treatment arm 1: 56.7%<br>
 Treatment arm 2: 56.5%<br>
 Treatment arm 3: 56.4%</p>","<p>Treatment arm 1: oral ferrous sulphate (AB Hassle, Goteborg); 100 mg taken twice daily for 14 days. Total dose: 2800 mg</p><p>Treatment arm 2: oral iron (AB Hassle, Goteborg) as 100 mg sustained-release tablets (40% iron release within 1 hour and 100% within 6 hours) taken twice daily for 14 days. Total dose: 2800 mg</p><p>Treatment arm 3: oral placebo (AB Hassle, Goteborg) taken twice daily for 14 days.&nbsp;</p>",<p>Adverse effects; compliance</p>,<p>—</p>
Simon 1984,1984,PUB,2917154,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial followed by non-randomised cross-over period</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: multiple fixed or hospital donation sites and monthly blood drives</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 55<br>
 Treatment arm 2: 49<br>
 Treatment arm 3: 57</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 22<br>
 Treatment arm 2: 22<br>
 Treatment arm 3: 19</p>
<p><i>Follow-up time points</i>: at each of at least 3 donation visits subsequent to baseline donation; inter-donation interval 8 to 12 weeks; mean 9.5 weeks. After 4 subsequent visits, median number of days since baseline = 266, range 225 to 403 days</p>
<p><i>Hb threshold for deferral from donation</i>: not reported (Hct 38%)</p>
<p><i>Source of funding</i>: supported by a grant from Blood Systems Research Foundation, Scottsdale, Arizona. Iron supplements supplied by Schering Corporation of Kenilworth, New Jersey</p>","<p>Regular, actively menstruating, female donors who could commit to donate blood close to every 8 weeks for 1 year</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: mean 28 (SD 5, range 18 to 40)<br>
 Treatment arm 2: mean 26 (SD 6, range 20 to 42)<br>
 Treatment arm 3: mean 30 (SD 7, range 19 to 40)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral ferrous sulphate (Schering Corporation, Kenilworth, New Jersey); 39 mg elemental iron taken daily for 56 days. Total dose: 2184 mg Fe2+</p>
<p>Treatment arm 2: oral ferrous sulphate (Schering Corporation, Kenilworth, New Jersey); 39 mg elemental iron + 75 mg vitamin C taken daily for 56 days. Total dose: 2184 mg Fe2+</p>
<p>Treatment arm 3: oral placebo (Schering Corporation, Kenilworth, New Jersey) containing 75 mg vitamin C only, taken daily for 56 days</p>",<p>Haemoglobin; haematocrit; total iron binding capacity; serum ferritin</p>,<p>—</p>
Waldvogel 2012,2012,PUB,2917157,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Switzerland</p>
<p><i>Study setting</i>: Lausanne Blood Transfusion Centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 78<br>
 Treatment arm 2: 76</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 74<br>
 Treatment arm 2: 71</p>
<p><i>Follow-up time points</i>: 4 weeks after randomisation (5 weeks after initial donation)</p>
<p><i>Hb threshold for deferral from donation</i>: 120 g/L</p>
<p><i>Source of funding</i>: supported by Pierre Fabre Medicament, Boulogne, France (2012) and the Dr H Dubois-Ferrière Dinu Lipatti Foundation (2016).</p>","<p>Successful female donors, non-anaemic but iron-deficient after donation (Hb ≥ 120 g/L and ferritin ≤ 30 ng/mL 1 week after donation)</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: mean 32.9 (SD 8.4)<br>
 Treatment arm 2: mean 30.7 (SD 8.8)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral ferrous sulphate (Tardyferon, Robapharm, Boulogne, France); 80 mg taken daily for 28 days. Total dose: 2240 mg</p>
<p>Treatment arm 2: oral placebo taken daily for 28 days</p>",<p>Original study (2012): level of fatigue perceived by donors on a 10-point visual analogue scale; subjective fatigue evaluated by the Fatigue Severity Scale (primary outcome); change in aerobic capacity; depression and quality of life; ferritin; haemoglobin.</p><p>Follow-up study (2016): effect of iron treatment on hepcidin (primary outcome); interaction between hepcidin levels at baseline and effects of iron on ferritin and Hb; correlation between hepcidin and ferritin/Hb at baseline and post-treatment; hepcidin concentrations between responders and non-responders for ferritin and Hb in donors under iron supplementation</p>,<p>This study performed intention-to-treat analysis</p>
