review_group	review_pdf	review_id	analysis_id	subset	comparison	comparison_label_clean	comparison_label_canonical	comparison_arm_1	comparison_arm_2	comparison_arm_1_canonical	comparison_arm_2_canonical	comparison_removed_shared_arm_context	outcome	effect_measure	data_type	cochrane_method_detected	cochrane_model_detected	calculation_method	calculation_model	calculation_scale	k_total_rows	k_estimable_rows	k_used	k_with_pmcid_used	k_without_pmcid_used	excluded_rows	reproduced_effect	reproduced_ci_lower	reproduced_ci_upper	reported_effect	reported_ci_lower	reported_ci_upper	effect_abs_diff	ci_lower_abs_diff	ci_upper_abs_diff	ci_iou	reported_match_status	tau2	Q	df	I2	notes
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.2	pmcid_only	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Diastolic blood pressure, measured as change-from-baseline	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 59: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.3	all_studies	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Heart rate, measured as change-from-baseline	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 60: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.3	pmcid_only	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Heart rate, measured as change-from-baseline	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 60: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.4	all_studies	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Withdrawals due to adverse effects	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 61: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.4	pmcid_only	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Withdrawals due to adverse effects	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 61: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.1	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of perineal trauma (tears or episiotomy or both)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 62: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.1	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of perineal trauma (tears or episiotomy or both)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 62: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.2	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of episiotomy	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 63: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.2	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of episiotomy	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 63: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.3	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of first and second degree perineal lacerations	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 64: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.3	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of first and second degree perineal lacerations	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 64: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.4	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of third and fourth degree perineal trauma	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 65: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.4	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of third and fourth degree perineal trauma	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 65: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.5	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of perineal oedema 1 hour after vaginal delivery	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 66: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.5	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of perineal oedema 1 hour after vaginal delivery	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 66: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.6	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of perineal oedema 24 hours after vaginal delivery	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 67: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.6	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of perineal oedema 24 hours after vaginal delivery	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 67: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.7	all_studies	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of neonatal Apgar scores less than 7 at five minutes	Odds Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 68: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1.7	pmcid_only	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	HAase injection	placebo injection	hyaluronidase	placebo	injection	Incidence of neonatal Apgar scores less than 7 at five minutes	Odds Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 68: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.1	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of perineal trauma (tears or episiotomy or both)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 69: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.1	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of perineal trauma (tears or episiotomy or both)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 69: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.2	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of episiotomy	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 70: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.2	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of episiotomy	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 70: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.3	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of first and second degree perineal lacerations	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 71: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.3	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of first and second degree perineal lacerations	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 71: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.4	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of third and fourth degree perineal trauma	.	unclear	M-H	Random	CI-derived inverse-variance	random	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 72: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.4	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of third and fourth degree perineal trauma	.	unclear	M-H	Random	CI-derived inverse-variance	random	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 72: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.5	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of perineal oedema 1 hour after vaginal delivery	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 73: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.5	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of perineal oedema 1 hour after vaginal delivery	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 73: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.6	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of perineal oedema 24 hours after vaginal delivery	.	unclear	M-H	Random	CI-derived inverse-variance	random	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 74: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.6	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of perineal oedema 24 hours after vaginal delivery	.	unclear	M-H	Random	CI-derived inverse-variance	random	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 74: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.7	all_studies	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of neonatal Apgar scores less than 7 at five minutes	.	unclear	M-H	Random	CI-derived inverse-variance	random	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 75: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2.7	pmcid_only	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	HAase injection	no intervention	hyaluronidase injection	no intervention	.	Incidence of neonatal Apgar scores less than 7 at five minutes	.	unclear	M-H	Random	CI-derived inverse-variance	random	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 75: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.1	all_studies	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of ROP at any stage	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 76: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.1	pmcid_only	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of ROP at any stage	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 76: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.2	all_studies	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of ROP stage 3 and above	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 77: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.2	pmcid_only	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of ROP stage 3 and above	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 77: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.3	all_studies	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Mortality assessed throughout NICU stay	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 78: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.3	pmcid_only	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Mortality assessed throughout NICU stay	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 78: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.4	all_studies	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of IVH (all grades of IVH and severe IVH grades III and IV)	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 79: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.4	pmcid_only	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of IVH (all grades of IVH and severe IVH grades III and IV)	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 79: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1.5	all_studies	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	Incidence of NEC	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. No estimable study rows in this subset. Excluded non-computable rows: row 80: missing effect/CI
